Round,Country,City,Circuit Name,Date,First Grand Prix,Number of Laps,Circuit Length(km),Race Distance(km),Average speed,Lap Record,Record Owner,Record Year,Turns,DRS Zones
1,Bahrain,Sakhir,Bahrain International Circuit,05/03/2023,2004,57,5.412,308.238,193.25,1:31.447,Pedro de la Rosa,2005,15,3
2,Saudi Arabia,Jeddah,Jeddah Corniche Circuit,19/03/2023,2021,50,6.174,308.45,224.83,1:30.734,Lewis Hamilton,2021,27,3
3,Australia,Melbourne,Melbourne Grand Prix Circuit,02/04/2023,1996,58,5.278,306.124,136.10,1:20.235,Sergio Perez,2023,14,4
4,Azerbaijan,Baku,Baku City Circuit,30/04/2023,2016,51,6.003,306.049,195.79,1:43.009,Charles Leclerc,2019,20,2
5,United States,Miami,Miami International Autodrome,07/05/2023,2022,57,5.412,308.326,208.56,1:29.708,Max Verstappen,2023,19,3
6,Monaco,Monaco,Circuit de Monaco,28/05/2023,1950,78,3.337,260.286,140.01,1:12.909,Lewis Hamilton,2021,19,1
7,Spain,Catalunya,Circuit de Barcelona-Catalunya,04/06/2023,1991,66,4.657,307.236,206.97,1:16.330,Max Verstappen,2023,14,2
8,Canada,Montréal,Circuit Gilles-Villeneuve,18/06/2023,1978,70,4.361,305.27,192.25,1:13.078,Valtteri Bottas,2018,14,3
9,Austria,Spielberg,Red Bull Ring,02/07/2023,1970,71,4.318,306.452,212.16,1:05.619,Carlos Sainz,2020,10,3
10,Great Britain,Silverstone,Silverstone Circuit,09/07/2023,1950,52,5.891,306.198,212.43,1:27.097,Max Verstappen,2020,18,2
11,Hungary,Budapest,Hungaroring,23/07/2023,1986,70,4.381,306.63,184.98,1:16.627,Lewis Hamilton,2020,14,2
12,Belgium,Spa-Francorchamps,Circuit de Spa-Francorchamps,30/07/2023,1950,44,7.004,308.052,221.57,1:46.286,Valtteri Bottas,2018,19,2
13,Netherlands,Zandvoort,Circuit Zandvoort,27/08/2023,1952,72,4.259,306.587,127.27,1:11.097,Lewis Hamilton,2021,14,2
14,Italy,Monza,Autodromo Nazionale Monza,03/09/2023,1950,53,5.793,306.72,237.62,1:21.046,Rubens Barrichello,2004,11,2
15,Singapore,Singapore,Marina Bay Street Circuit,17/09/2023,2008,62,4.940,306.143,171.11,1:35.867,Lewis Hamilton,2023,19,3
16,Japan,Suzuka,Suzuka International Racing Course,24/09/2023,1987,53,5.807,307.471,200.33,1:30.983,Lewis Hamilton,2019,18,1
17,Qatar,Lusail,Lusail International Circuit,08/10/2023,2021,57,5.419,308.611,208.86,1:24.319,Max Verstappen,2023,16,1
18,United States,Austin,Circuit of The Americas,22/10/2023,2012,56,5.513,308.405,192.17,1:36.169,Charles Leclerc,2019,20,2
19,Mexico,Mexico City,Autodromo Hermanos Rodriguez,29/10/2023,1963,71,4.304,305.354,147.50,1:17.774,Valtteri Bottas,2021,17,3
20,Brazil,São Paulo,Autodromo Jose Carlos Pace,05/11/2023,1973,71,4.309,305.879,154.85,1:10.540,Valtteri Bottas,2018,15,2
21,United States,Las Vegas,Las Vegas Strip Circuit,18/11/2023,2023,50,6.201,309.958,206.71,1:35.490,Oscar Piastri,2023,17,2
22,Abu Dhabi,Yas Island,Yas Marina Circuit,26/11/2023,2009,58,5.281,306.183,208.93,1:26.103,Max Verstappen,2021,16,2
